id,start,end,count
1,2020-02-15 06:21:30.500,2020-02-15 09:26:46.750,44466
1,2020-02-15 16:19:47.000,2020-02-16 15:08:12.750,328424
1,2020-02-16 15:56:11.500,2020-02-16 16:54:54.750,14094
1,2020-02-17 21:05:26.500,2020-02-17 21:51:31.750,11062
1,2020-02-19 07:15:51.500,2020-02-19 12:19:09.750,72794
1,2020-02-21 00:32:29.500,2020-02-21 07:42:24.750,103182
1,2020-02-21 17:20:05.500,2020-02-21 19:44:31.750,34666
2,2020-02-21 19:34:52.500,2020-02-21 19:47:51.750,3118
2,2020-02-22 21:28:50.500,2020-02-22 22:04:30.750,8562
2,2020-02-23 20:46:56.500,2020-02-23 21:19:46.750,7882
2,2020-02-24 20:08:09.500,2020-02-24 20:34:54.750,6422
2,2020-02-25 12:24:35.500,2020-02-25 19:11:35.750,97682
2,2020-02-26 20:42:15.000,2020-02-26 21:44:42.750,14992
2,2020-02-27 22:52:32.500,2020-02-27 23:48:15.750,13374
2,2020-02-28 21:58:05.500,2020-02-29 07:54:46.750,143206
3,2020-02-23 18:14:39.500,2020-02-23 19:03:52.750,11814
3,2020-02-24 09:21:15.500,2020-02-24 18:20:45.750,129482
3,2020-02-24 22:35:46.000,2020-02-26 02:50:21.750,406704
3,2020-02-26 09:28:20.500,2020-02-26 10:00:39.750,7758
3,2020-02-26 21:04:53.500,2020-02-27 05:02:06.750,114534
3,2020-02-28 13:29:34.000,2020-02-29 11:54:06.750,322692
3,2020-03-01 07:05:16.000,2020-03-01 07:36:43.750,7552
4,2020-02-27 08:47:02.500,2020-02-27 21:11:01.750,178558
4,2020-02-28 04:14:42.500,2020-02-29 19:07:05.750,559774
4,2020-02-29 22:05:03.000,2020-02-29 22:16:52.750,2840
4,2020-03-01 09:36:56.000,2020-03-01 10:58:57.750,19688
4,2020-03-01 22:49:16.000,2020-03-01 23:15:53.750,6392
4,2020-03-02 09:04:22.500,2020-03-02 09:58:05.750,12894
4,2020-03-02 21:35:28.500,2020-03-02 21:54:44.750,4626
4,2020-03-03 11:51:55.500,2020-03-03 12:21:57.750,7210
4,2020-03-04 01:41:26.500,2020-03-04 02:06:59.750,6134
4,2020-03-04 16:10:46.500,2020-03-04 16:38:04.750,6554
4,2020-03-04 21:02:32.000,2020-03-04 21:21:35.750,4576
4,2020-03-05 07:44:58.500,2020-03-05 21:28:49.750,197726
4,2020-03-06 07:26:23.000,2020-03-06 07:32:02.750,1360
4,2020-03-06 09:51:37.500,2020-03-06 09:56:43.750,1226
5,2020-02-27 18:20:42.500,2020-02-27 19:01:06.750,9698
5,2020-02-28 12:34:07.000,2020-02-28 15:33:04.750,42952
