id,start,end,count
1,2020-02-15 06:21:31,2020-02-15 09:25:59,11069
1,2020-02-15 09:26:03,2020-02-15 09:26:59,57
1,2020-02-15 16:19:48,2020-02-16 15:07:59,82092
1,2020-02-16 15:08:37,2020-02-16 15:08:59,23
1,2020-02-16 15:56:12,2020-02-16 16:54:59,3528
1,2020-02-16 16:55:55,2020-02-16 16:55:59,5
1,2020-02-17 21:05:27,2020-02-17 21:50:59,2733
1,2020-02-17 21:51:18,2020-02-17 21:51:59,42
1,2020-02-19 07:15:53,2020-02-19 12:18:59,18187
1,2020-02-19 12:19:40,2020-02-19 12:19:59,20
1,2020-02-21 00:32:31,2020-02-21 07:41:59,25769
1,2020-02-21 07:42:25,2020-02-21 07:42:59,35
1,2020-02-21 17:20:06,2020-02-21 19:43:59,8634
1,2020-02-21 19:44:18,2020-02-21 19:44:59,42
2,2020-02-21 19:34:53,2020-02-21 19:48:01,789
2,2020-02-22 21:28:52,2020-02-22 22:04:40,2149
2,2020-02-23 20:46:58,2020-02-23 21:19:56,1979
2,2020-02-24 20:08:11,2020-02-24 20:35:04,1614
2,2020-02-25 12:24:36,2020-02-25 19:11:45,24430
2,2020-02-26 20:42:15,2020-02-26 21:44:52,3758
2,2020-02-27 22:52:33,2020-02-27 23:48:25,3353
2,2020-02-28 21:58:06,2020-02-29 07:54:56,35811
3,2020-02-23 18:14:41,2020-02-23 19:04:02,2962
3,2020-02-24 09:21:17,2020-02-24 18:20:55,32379
3,2020-02-24 22:35:47,2020-02-26 02:50:31,101685
3,2020-02-26 09:28:21,2020-02-26 10:00:49,1949
3,2020-02-26 21:04:54,2020-02-27 05:02:16,28643
3,2020-02-28 13:29:35,2020-02-29 11:54:16,80682
3,2020-03-01 07:05:17,2020-03-01 07:36:53,1897
4,2020-02-27 08:47:03,2020-02-27 21:11:11,44649
4,2020-02-28 04:14:43,2020-02-29 19:07:15,139953
4,2020-02-29 22:05:04,2020-02-29 22:17:02,719
4,2020-03-01 09:36:57,2020-03-01 10:59:07,4931
4,2020-03-01 22:49:17,2020-03-01 23:16:03,1607
4,2020-03-02 09:04:24,2020-03-02 09:58:15,3232
4,2020-03-02 21:35:29,2020-03-02 21:54:54,1166
4,2020-03-03 11:51:57,2020-03-03 12:22:07,1811
4,2020-03-04 01:41:27,2020-03-04 02:07:09,1543
4,2020-03-04 16:10:47,2020-03-04 16:38:14,1648
4,2020-03-04 21:02:33,2020-03-04 21:21:45,1153
4,2020-03-05 07:45:00,2020-03-05 21:28:59,49440
4,2020-03-06 07:26:24,2020-03-06 07:32:12,349
4,2020-03-06 09:51:39,2020-03-06 09:56:53,315
5,2020-02-27 18:20:43,2020-02-27 19:01:16,2434
5,2020-02-28 12:34:08,2020-02-28 15:33:14,10747
5,2020-02-28 22:19:25,2020-02-28 22:38:45,1161
5,2020-02-29 14:47:17,2020-02-29 15:24:16,2220
5,2020-03-01 03:24:08,2020-03-01 06:07:45,9818
5,2020-03-01 16:07:17,2020-03-01 17:21:16,4440
5,2020-03-01 22:42:16,2020-03-01 23:02:34,1219
5,2020-03-01 23:37:45,2020-03-01 23:38:49,65
5,2020-03-02 17:47:21,2020-03-02 18:25:07,2267
5,2020-03-03 09:24:15,2020-03-03 09:40:19,965
