id,start,end,count,time_in_hours
1,2020-02-15 06:21:31,2020-02-15 09:25:59,11069,3.07
1,2020-02-15 09:26:03,2020-02-15 09:26:59,57,0.02
1,2020-02-15 16:19:48,2020-02-16 15:07:59,82092,22.8
1,2020-02-16 15:08:37,2020-02-16 15:08:59,23,0.01
1,2020-02-16 15:56:12,2020-02-16 16:54:59,3528,0.98
1,2020-02-16 16:55:55,2020-02-16 16:55:59,5,0.0
1,2020-02-17 21:05:27,2020-02-17 21:50:59,2733,0.76
1,2020-02-17 21:51:18,2020-02-17 21:51:59,42,0.01
1,2020-02-19 07:15:53,2020-02-19 12:18:59,18187,5.05
1,2020-02-19 12:19:40,2020-02-19 12:19:59,20,0.01
1,2020-02-21 00:32:31,2020-02-21 07:41:59,25769,7.16
1,2020-02-21 07:42:25,2020-02-21 07:42:59,35,0.01
1,2020-02-21 17:20:06,2020-02-21 19:43:59,8634,2.4
1,2020-02-21 19:44:18,2020-02-21 19:44:59,42,0.01
2,2020-02-21 19:34:53,2020-02-21 19:48:01,789,0.22
2,2020-02-22 21:28:52,2020-02-22 22:04:40,2149,0.6
2,2020-02-23 20:46:58,2020-02-23 21:19:56,1979,0.55
2,2020-02-24 20:08:11,2020-02-24 20:35:04,1614,0.45
2,2020-02-25 12:24:36,2020-02-25 19:11:45,24430,6.79
2,2020-02-26 20:42:15,2020-02-26 21:44:52,3758,1.04
2,2020-02-27 22:52:33,2020-02-27 23:48:25,3353,0.93
2,2020-02-28 21:58:06,2020-02-29 07:54:56,35811,9.95
3,2020-02-23 18:14:41,2020-02-23 19:04:02,2962,0.82
3,2020-02-24 09:21:17,2020-02-24 18:20:55,32379,8.99
3,2020-02-24 22:35:47,2020-02-26 02:50:31,101685,28.25
3,2020-02-26 09:28:21,2020-02-26 10:00:49,1949,0.54
3,2020-02-26 21:04:54,2020-02-27 05:02:16,28643,7.96
3,2020-02-28 13:29:35,2020-02-29 11:54:16,80682,22.41
3,2020-03-01 07:05:17,2020-03-01 07:36:53,1897,0.53
4,2020-02-27 08:47:03,2020-02-27 21:11:11,44649,12.4
4,2020-02-28 04:14:43,2020-02-29 19:07:15,139953,38.88
4,2020-02-29 22:05:04,2020-02-29 22:17:02,719,0.2
4,2020-03-01 09:36:57,2020-03-01 10:59:07,4931,1.37
4,2020-03-01 22:49:17,2020-03-01 23:16:03,1607,0.45
4,2020-03-02 09:04:24,2020-03-02 09:58:15,3232,0.9
4,2020-03-02 21:35:29,2020-03-02 21:54:54,1166,0.32
4,2020-03-03 11:51:57,2020-03-03 12:22:07,1811,0.5
4,2020-03-04 01:41:27,2020-03-04 02:07:09,1543,0.43
4,2020-03-04 16:10:47,2020-03-04 16:38:14,1648,0.46
4,2020-03-04 21:02:33,2020-03-04 21:21:45,1153,0.32
4,2020-03-05 07:45:00,2020-03-05 21:28:59,49440,13.73
4,2020-03-06 07:26:24,2020-03-06 07:32:12,349,0.1
4,2020-03-06 09:51:39,2020-03-06 09:56:53,315,0.09
5,2020-02-27 18:20:43,2020-02-27 19:01:16,2434,0.68
5,2020-02-28 12:34:08,2020-02-28 15:33:14,10747,2.99
5,2020-02-28 22:19:25,2020-02-28 22:38:45,1161,0.32
5,2020-02-29 14:47:17,2020-02-29 15:24:16,2220,0.62
5,2020-03-01 03:24:08,2020-03-01 06:07:45,9818,2.73
5,2020-03-01 16:07:17,2020-03-01 17:21:16,4440,1.23
5,2020-03-01 22:42:16,2020-03-01 23:02:34,1219,0.34
5,2020-03-01 23:37:45,2020-03-01 23:38:49,65,0.02
5,2020-03-02 17:47:21,2020-03-02 18:25:07,2267,0.63
5,2020-03-03 09:24:15,2020-03-03 09:40:19,965,0.27
5,2020-03-03 09:49:15,2020-03-03 09:50:22,68,0.02
5,2020-03-03 22:08:25,2020-03-03 22:38:16,1792,0.5
5,2020-03-03 22:51:57,2020-03-03 22:53:03,67,0.02
5,2020-03-04 00:59:51,2020-03-04 01:00:51,61,0.02
5,2020-03-04 20:05:43,2020-03-04 22:49:56,9854,2.74
5,2020-03-05 22:02:52,2020-03-05 22:44:46,2515,0.7
5,2020-03-06 22:29:23,2020-03-06 22:53:05,1423,0.4
5,2020-03-07 08:00:47,2020-03-07 08:29:24,1718,0.48
6,2020-02-29 08:22:29,2020-02-29 12:01:47,13159,3.66
6,2020-02-29 22:52:17,2020-02-29 23:42:22,3006,0.84
6,2020-03-02 14:32:34,2020-03-03 07:25:45,60792,16.89
6,2020-03-04 04:15:31,2020-03-04 05:39:26,5036,1.4
6,2020-03-04 21:43:58,2020-03-04 22:50:51,4014,1.12
6,2020-03-05 17:44:17,2020-03-08 01:23:33,200357,55.65
6,2020-03-08 10:21:13,2020-03-09 07:38:17,76625,21.28
7,2020-03-14 10:38:58,2020-03-14 10:45:49,412,0.11
7,2020-03-15 08:18:07,2020-03-15 08:48:55,1849,0.51
7,2020-03-15 09:05:32,2020-03-15 09:19:10,819,0.23
7,2020-03-15 09:24:33,2020-03-15 09:25:42,70,0.02
7,2020-03-15 12:28:11,2020-03-15 12:53:24,1514,0.42
7,2020-03-16 08:45:07,2020-03-16 09:12:04,1618,0.45
7,2020-03-16 17:29:42,2020-03-16 17:30:40,59,0.02
7,2020-03-17 11:02:50,2020-03-17 11:28:57,1568,0.44
7,2020-03-18 10:01:36,2020-03-18 10:25:20,1425,0.4
7,2020-03-19 09:02:09,2020-03-19 09:24:51,1363,0.38
7,2020-03-20 03:57:23,2020-03-20 09:43:14,20752,5.76
7,2020-03-20 18:09:19,2020-03-20 18:10:16,58,0.02
7,2020-03-21 09:47:08,2020-03-21 10:12:13,1506,0.42
7,2020-03-22 04:35:25,2020-03-22 07:59:16,12232,3.4
8,2020-03-15 10:28:47,2020-03-15 14:19:04,13818,3.84
8,2020-03-17 04:13:36,2020-03-17 12:26:17,29562,8.21
8,2020-03-18 19:01:09,2020-03-18 21:47:07,9959,2.77
8,2020-03-20 06:34:54,2020-03-20 06:56:17,1284,0.36
8,2020-03-20 23:40:09,2020-03-21 06:59:24,26356,7.32
8,2020-03-22 05:02:56,2020-03-22 10:38:34,20139,5.59
8,2020-03-22 22:10:16,2020-03-22 22:28:59,1124,0.31
8,2020-03-23 07:28:05,2020-03-23 09:27:32,7168,1.99
9,2020-03-22 09:28:17,2020-03-22 10:11:51,2615,0.73
9,2020-03-22 10:45:28,2020-03-22 10:47:28,121,0.03
9,2020-03-23 09:06:12,2020-03-23 10:12:24,3973,1.1
9,2020-03-24 09:57:58,2020-03-24 10:40:09,2532,0.7
9,2020-03-25 19:46:21,2020-03-26 08:01:39,44119,12.26
9,2020-03-26 22:01:29,2020-03-26 23:11:57,4229,1.17
9,2020-03-27 20:52:29,2020-03-27 21:22:22,1794,0.5
9,2020-03-28 22:20:04,2020-03-28 23:53:19,5596,1.55
10,2020-03-23 05:09:56,2020-03-23 05:35:26,1531,0.43
10,2020-03-24 09:30:48,2020-03-24 10:49:05,4698,1.3
10,2020-03-25 06:21:12,2020-03-25 07:00:36,2365,0.66
10,2020-03-26 04:48:39,2020-03-26 05:08:19,1181,0.33
10,2020-03-27 05:52:34,2020-03-27 06:17:27,1494,0.42
10,2020-03-28 03:10:19,2020-03-28 05:26:12,8154,2.26
10,2020-03-29 03:59:04,2020-03-29 05:46:21,6438,1.79
10,2020-03-30 02:55:53,2020-03-30 06:13:15,11843,3.29
11,2020-04-06 12:03:45,2020-04-06 12:30:04,1580,0.44
11,2020-04-06 19:59:47,2020-04-06 20:53:39,3233,0.9
11,2020-04-06 20:58:50,2020-04-06 22:43:34,6285,1.75
11,2020-04-07 08:34:53,2020-04-07 08:39:25,273,0.08
11,2020-04-07 18:52:54,2020-04-07 19:55:40,3767,1.05
11,2020-04-08 20:09:03,2020-04-08 21:34:54,5152,1.43
11,2020-04-09 15:30:43,2020-04-11 06:39:32,140930,39.15
11,2020-04-11 20:38:14,2020-04-11 21:37:56,3583,1.0
11,2020-04-12 21:08:11,2020-04-12 21:53:26,2716,0.75
11,2020-04-13 22:27:49,2020-04-14 02:40:43,15175,4.22
11,2020-04-14 20:19:19,2020-04-14 21:13:55,3277,0.91
11,2020-04-15 23:42:07,2020-04-16 06:15:49,23623,6.56
12,2020-05-03 20:48:46,2020-05-03 21:48:58,3613,1.0
12,2020-05-05 20:06:30,2020-05-05 23:19:45,11596,3.22
12,2020-05-07 15:56:17,2020-05-07 23:48:39,28343,7.87
12,2020-05-08 22:52:52,2020-05-08 23:23:09,1818,0.5
12,2020-05-10 13:41:01,2020-05-10 20:47:36,25596,7.11
13,2020-05-29 09:11:16,2020-05-29 10:53:44,6149,1.71
13,2020-05-30 10:24:33,2020-05-30 10:57:51,1999,0.56
13,2020-05-30 11:12:38,2020-05-30 11:18:43,366,0.1
13,2020-05-31 10:04:49,2020-05-31 11:16:38,4310,1.2
13,2020-05-31 13:11:15,2020-05-31 14:13:58,3764,1.05
13,2020-05-31 23:01:10,2020-05-31 23:49:30,2901,0.81
13,2020-06-01 10:44:00,2020-06-01 11:48:57,3898,1.08
13,2020-06-02 12:28:02,2020-06-02 13:14:42,2801,0.78
13,2020-06-03 14:19:09,2020-06-03 15:16:42,3454,0.96
13,2020-06-04 09:08:57,2020-06-04 09:45:39,2203,0.61
14,2020-06-07 00:54:02,2020-06-07 11:57:12,39791,11.05
14,2020-06-07 19:11:50,2020-06-07 22:09:45,10676,2.97
14,2020-06-08 22:55:18,2020-06-08 23:31:04,2147,0.6
14,2020-06-09 21:18:57,2020-06-10 00:17:56,10740,2.98
14,2020-06-11 14:40:48,2020-06-11 22:45:58,29111,8.09
14,2020-06-12 21:24:55,2020-06-12 22:52:56,5282,1.47
14,2020-06-13 10:35:26,2020-06-13 10:35:41,16,0.0
16,2020-07-18 03:07:24,2020-07-18 09:31:40,23057,6.4
16,2020-07-19 15:00:20,2020-07-20 08:39:29,63550,17.65
16,2020-07-21 14:24:18,2020-07-21 15:37:05,4368,1.21
16,2020-07-22 10:59:01,2020-07-22 11:37:30,2310,0.64
