datetime,count
2020-05-03 16:40:00,5
2020-05-03 16:45:00,19
2020-05-03 16:50:00,22
2020-05-03 16:55:00,0
2020-05-03 17:00:00,0
2020-05-03 17:05:00,55
2020-05-03 17:10:00,37
2020-05-03 17:15:00,1
2020-05-03 17:20:00,1
2020-05-03 17:25:00,6
2020-05-03 17:30:00,3
2020-05-03 17:35:00,2
2020-05-03 17:40:00,31
2020-05-03 17:45:00,8
2020-05-03 17:50:00,9
2020-05-03 17:55:00,8
2020-05-03 18:00:00,74
2020-05-03 18:05:00,21
2020-05-03 18:10:00,71
2020-05-03 18:15:00,16
2020-05-03 18:20:00,4
2020-05-03 18:25:00,12
2020-05-03 18:30:00,40
2020-05-03 18:35:00,147
2020-05-03 18:40:00,88
2020-05-03 18:45:00,81
2020-05-03 18:50:00,114
2020-05-03 18:55:00,168
2020-05-03 19:00:00,155
2020-05-03 19:05:00,191
2020-05-03 19:10:00,174
2020-05-03 19:15:00,130
2020-05-03 19:20:00,91
2020-05-03 19:25:00,26
2020-05-03 19:30:00,71
2020-05-03 19:35:00,113
2020-05-03 19:40:00,30
2020-05-03 19:45:00,27
2020-05-03 19:50:00,46
2020-05-03 19:55:00,7
2020-05-03 20:00:00,31
2020-05-03 20:05:00,20
2020-05-03 20:10:00,49
2020-05-03 20:15:00,0
2020-05-03 20:20:00,3
2020-05-03 20:25:00,39
2020-05-03 20:30:00,27
2020-05-03 20:35:00,102
2020-05-03 20:40:00,74
2020-05-03 20:45:00,19
2020-05-03 20:50:00,0
2020-05-03 20:55:00,0
2020-05-03 21:00:00,0
2020-05-03 21:05:00,0
2020-05-03 21:10:00,0
2020-05-03 21:15:00,0
2020-05-03 21:20:00,0
2020-05-03 21:25:00,0
2020-05-03 21:30:00,0
2020-05-03 21:35:00,0
2020-05-03 21:40:00,0
2020-05-03 21:45:00,0
2020-05-03 21:50:00,1
2020-05-03 21:55:00,0
2020-05-03 22:00:00,0
2020-05-03 22:05:00,0
2020-05-03 22:10:00,13
2020-05-03 22:15:00,2
2020-05-03 22:20:00,6
2020-05-03 22:25:00,4
2020-05-03 22:30:00,108
2020-05-03 22:35:00,131
2020-05-03 22:40:00,77
2020-05-03 22:45:00,19
2020-05-03 22:50:00,52
2020-05-03 22:55:00,185
2020-05-03 23:00:00,200
2020-05-03 23:05:00,160
2020-05-03 23:10:00,211
